status,scenario,problem,budget_ratio,seed,arm_id,policy,training_reweighting,target_size,selected_size,unique_selected_size,exact_budget,inclusion_saturated_count,inclusion_probability_min,inclusion_probability_max,training_weight_min,training_weight_max,effective_sample_size,rank,gram_relative_error,projection_cost_relative_error,max_principal_angle_degrees,mean_principal_angle_degrees,primary_metric,primary_score,rmse,mae,tail_mae,single_class_sample,runtime_seconds,roc_auc,log_loss
completed,low_rank_regression,regression,0.05,11,S0_uniform,uniform,none,30,30,30,True,0,0.049999999999999996,0.049999999999999996,1.0,1.0,30.0,4,0.35350733313910904,0.14068536981549554,8.08044982603661,5.43387505420996,rmse,0.7677514779973753,0.7677514779973753,0.541710922249975,0.8271389939941333,False,0.01776830000017071,,
completed,low_rank_regression,regression,0.05,11,S1_top_leverage,leverage,none,30,30,30,True,30,0.0,1.0,1.0,1.0,30.0,4,0.843717764143242,0.03505195528763121,3.618488354693271,2.699790710526758,rmse,1.3925031355946096,1.3925031355946096,1.1680525512040105,1.0054572410873228,False,0.007676500001252862,,
completed,low_rank_regression,regression,0.05,11,S2_capped_leverage,capped_leverage,none,30,30,30,True,0,0.0011150132427665941,0.12507241292602686,1.0,1.0,30.0,4,0.3236054708421629,0.10006356440012523,6.1516823703902475,4.51554493765986,rmse,0.7662726236626193,0.7662726236626193,0.5471887279987443,0.749974963172573,False,0.016827999999804888,,
completed,low_rank_regression,regression,0.05,11,S3_saturated_leverage,saturated_leverage,none,30,30,30,True,0,0.0010806430843719886,0.23698174592840598,1.0,1.0,30.0,4,0.37176898429963234,0.09518670989187149,5.7741222219792485,4.4668560900706336,rmse,0.8113801138481561,0.8113801138481561,0.5972138734329375,0.7464349451861276,False,0.01624680000168155,,
completed,low_rank_regression,regression,0.05,11,S4_robust_mixture,robust_leverage_mixture,none,30,30,30,True,0,0.013310482313278992,0.19023630944630446,1.0,1.0,30.0,4,0.35145000978498336,0.11430977695962175,7.43448627801147,4.616212506302335,rmse,0.8664044770615416,0.8664044770615416,0.6103510617577118,0.7907639949360702,False,0.016374400001950562,,
completed,low_rank_regression,regression,0.05,11,S5_robust_mixture_ipw,robust_leverage_mixture,inverse_probability,30,30,30,True,0,0.013310482313278992,0.19023630944630446,0.31162704309166533,1.7033809722807687,26.275910639395494,4,0.35145000978498336,0.11430977695962175,7.43448627801147,4.616212506302335,rmse,0.8530538067627331,0.8530538067627331,0.6061675985222323,0.7636391820278935,False,0.01634369999737828,,
completed,low_rank_regression,regression,0.05,11,S6_ridge_leverage_ipw,saturated_ridge_leverage,inverse_probability,30,30,30,True,0,0.02140938989875749,0.0948795380989555,0.6475585797458501,1.9945688373802124,27.933414509865052,4,0.3113252763740369,0.1122002697902837,7.53555689388404,4.986605556369417,rmse,0.8857832905830949,0.8857832905830949,0.6887760542489605,1.0314903957373815,False,0.016241100001934683,,
completed,low_rank_regression,regression,0.05,29,S0_uniform,uniform,none,30,30,30,True,0,0.049999999999999996,0.049999999999999996,1.0,1.0,30.0,4,0.36239804119634594,0.18952141667154082,12.46041687070572,6.075696640196348,rmse,0.9115184936633884,0.9115184936633884,0.5566383882727984,0.927394935474612,False,0.016030499999033054,,
completed,low_rank_regression,regression,0.05,29,S1_top_leverage,leverage,none,30,30,30,True,30,0.0,1.0,1.0,1.0,30.0,4,0.8564661591220369,0.05518310182008915,5.093754156809168,3.3776011143335785,rmse,1.3258393257340613,1.3258393257340613,1.0463954548808843,1.3387142977268014,False,0.007526100001996383,,
completed,low_rank_regression,regression,0.05,29,S2_capped_leverage,capped_leverage,none,30,30,30,True,0,0.0009252152763623558,0.11839403527051055,1.0,1.0,30.0,4,0.24720532361109693,0.16205907376953815,10.082417823002789,5.468114864449271,rmse,0.8680972235181189,0.8680972235181189,0.607013914044658,0.9940547430799531,False,0.01630220000151894,,
